StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc
68,Seeley,Seeley,Southern Region Office,Imperial,5/29/1987,12/31/2050,True,False,40,Grass,32º45'34N / 32.759575,-115º43'55W / -115.732070,92273,
69,San Jose,San Jose,North Central Region Office,Santa Clara,6/8/1987,11/22/2002,False,True,125,Grass,37º19'34N / 37.326189,-121º57'7W / -121.951820,"95196, 95194, 95193, 95192, 95191, 95190, 95173, 95172, 95171, 95170, 95164, 95161, 95160, 95159, 95158, 95157, 95156, 95155, 95154, 95153, 95152, 95150, 95148, 95142, 95141, 95140, 95139, 95138, 95137, 95136, 95135, 95134, 95133, 95132, 95131, 95130, 95129, 95128, 95127, 95126, 95125, 95124, 95123, 95122, 95121, 95120, 95119, 95118, 95117, 95116, 95115, 95114, 95113, 95112, 95111, 95110, 95109, 95108, 95107, 95106, 95103, 95102, 95101",
70,Manteca,Manteca,North Central Region Office,San Joaquin,11/12/1987,12/31/2050,True,True,33,Grass,37º50'5N / 37.834822,-121º13'23W / -121.223190,"95337, 95336, 95365, 95320, 95231",
71,Modesto,Modesto,South Central Region Office,Stanislaus,6/25/1987,12/31/2050,True,True,35,Grass,37º38'43N / 37.645222,-121º11'16W / -121.187760,"95397, 95358, 95357, 95356, 95355, 95354, 95353, 95352, 95351, 95350",
72,Palo Verde,Palo Verde,Southern Region Office,Imperial,9/8/1987,12/20/2000,False,True,230,Alfalfa,33º23'15N / 33.3875,-114º43'21W / -114.7225,92266,
73,Hollywood Hills,Burbank,Southern Region Office,Los Angeles,3/4/1988,9/14/1993,False,True,560,Grass,34º8'50N / 34.147222,-118º19'4W / -118.317780,"91526, 91523, 91522, 91521, 91510, 91509, 91508, 91507, 91506, 91505, 91504, 91503, 91502, 91501",
74,Escondido,Escondido,Southern Region Office,San Diego,4/26/1988,12/24/1998,False,True,450,Grass,33º5'24N / 33.09,-116º58'52W / -116.981110,"92046, 92033, 92030, 92029, 92027, 92026, 92025",
75,Irvine,Irvine,Southern Region Office,Orange,10/7/1987,12/31/2050,True,True,410,Grass,33º41'18N / 33.688450,-117º43'16W / -117.721180,"92710, 92707, 92667, 92650, 92630, 92623, 92620, 92619, 92618, 92616, 92614, 92612, 92606, 92604, 92603, 92602",
76,Betteravia,Guadalupe,Southern Region Office,Santa Barbara,12/18/1987,7/1/1993,False,True,160,Grass,34º55'26N / 34.923889,-120º30'42W / -120.511670,"93458, 93457, 93456, 93455, 93454",
77,Oakville,Napa,North Central Region Office,Napa,3/1/1989,12/31/2050,True,True,190,Grass,38º25'43N / 38.428475,-122º24'37W / -122.410210,"94573, 94574, 94562",
78,Pomona,Pomona,Southern Region Office,Los Angeles,3/14/1989,12/31/2050,True,True,730,Grass,34º3'24N / 34.056589,-117º48'47W / -117.813070,"91799, 91797, 91769, 91768, 91767, 91766, 91765",
79,Angwin,St. Helena,North Central Region Office,Napa,5/11/1989,12/27/1996,False,True,1720,Grass,38º33'19N / 38.555242,-122º25'19W / -122.421860,"95708, 94576, 94508",
80,Fresno State,Fresno,South Central Region Office,Fresno,10/3/1988,12/31/2050,True,True,339,Grass,36º49'15N / 36.820833,-119º44'32W / -119.742310,"93766, 93762, 93761, 93760, 93759, 93755, 93750, 93747, 93745, 93744, 93741, 93740, 93729, 93728, 93727, 93726, 93725, 93724, 93722, 93721, 93720, 93718, 93717, 93716, 93715, 93714, 93711, 93710, 93709, 93708, 93707, 93706, 93705, 93704, 93703, 93702, 93701, 93650",
81,Shenandoah Valley,Plymouth,North Central Region Office,Amador,5/11/1990,5/17/2000,False,True,1550,Grass,38º31'22N / 38.522697,-120º48'18W / -120.805070,95669,
82,Claremont,Claremont,Southern Region Office,Los Angeles,4/13/1989,9/26/2007,False,True,1620,Grass,34º7'48N / 34.13,-117º41'46W / -117.696110,"91711, 91786, 91784, 91773, 91750",
83,Santa Rosa,Santa Rosa,North Central Region Office,Sonoma,1/1/1990,12/31/2050,True,True,80,Grass,38º24'13N / 38.403550,-122º48'0W / -122.799930,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",
84,Browns Valley,Marysville,North Central Region Office,Yuba,4/13/1989,12/31/2050,True,True,940,Grass,39º15'9N / 39.252561,-121º18'56W / -121.315670,95918,
85,Hopland FS,Hopland,North Central Region Office,Mendocino,9/23/1989,4/25/2016,False,False,1160,Bare,39º0'24N / 39.006747,-123º4'48W / -123.080120,95449,
86,Lindcove,Lindcove,South Central Region Office,Tulare,5/31/1989,12/3/2020,False,False,480,Grass,36º21'38N / 36.3605,-119º3'34W / -119.059350,"93286, 93221",
87,Meloland,El Centro,Southern Region Office,Imperial,12/12/1989,12/31/2050,True,True,-50,Grass,32º48'22N / 32.806183,-115º26'47W / -115.446260,"92251, 92250, 92244, 92243",
88,Cuyama,Cuyama,Southern Region Office,Santa Barbara,5/20/1989,12/31/2050,True,False,2290,Grass,34º56'33N / 34.942525,-119º40'26W / -119.6738,93254,
89,Salinas South,Salinas,South Central Region Office,Monterey,9/5/1992,9/25/2012,False,True,120,Grass,36º36'34N / 36.609444,-121º31'45W / -121.5293,"93962, 93915, 93912, 93908, 93907, 93906, 93905, 93902, 93901",
90,Alturas,Alturas,Northern Region Office,Modoc,4/23/1989,12/31/2050,True,True,4405,Grass,41º26'18N / 41.438214,-120º28'49W / -120.480310,96101,
91,Tulelake FS,Tulelake,Northern Region Office,Siskiyou,4/12/1989,12/31/2035,True,True,4035,Grass,41º57'32N / 41.958869,-121º28'21W / -121.472370,96134,
92,Kesterson,Gustine,South Central Region Office,Merced,10/13/1989,10/11/2021,False,False,75,Grass,37º13'55N / 37.231861,-120º52'51W / -120.880820,93620,
93,Lamont,Lamont,South Central Region Office,Kern,2/4/1990,10/3/1994,False,True,382,Grass,35º17'12N / 35.286667,-118º55'43W / -118.928610,93241,
94,Goleta Foothills,Goleta,Southern Region Office,Santa Barbara,7/7/1990,7/18/2016,False,True,640,Grass,34º28'17N / 34.471333,-119º52'9W / -119.869290,"93199, 93190, 93160, 93150, 93140, 93130, 93129, 93128, 93127, 93126, 93125, 93124, 93123, 93122, 93121, 93120, 93118, 93117, 93116, 93111, 93110, 93109, 93106, 93107, 93105, 93103, 93102, 93101",
95,Watsonville,Watsonville,South Central Region Office,Santa Cruz,9/13/1989,7/24/1995,False,True,100,Grass,36º53'10N / 36.886111,-121º48'32W / -121.808890,"95077, 95076, 95075, 95019, 95018",
96,Woodside,Woodside,North Central Region Office,San Mateo,10/31/1990,1/24/1994,False,True,560,Grass,37º27'13N / 37.453661,-122º16'54W / -122.2817,94062,
97,Port Hueneme,Port Hueneme,Southern Region Office,Ventura,2/16/1991,7/31/2000,False,True,18,Grass,34º10'24N / 34.173333,-119º12'0W / -119.20,"93044, 93043, 93042, 93041",
98,Ramona,Ramona,Southern Region Office,San Diego,4/20/1991,5/28/1998,False,True,1340,Grass,33º2'58N / 33.049444,-116º56'18W / -116.938330,92065,
99,Santa Monica,Santa Monica,Southern Region Office,Los Angeles,12/11/1992,5/8/2050,True,True,340,Grass,34º2'40N / 34.044311,-118º28'37W / -118.476890,"90411, 90410, 90409, 90408, 90407, 90406, 90405, 90404, 90403, 90402, 90401",
100,Fremont,Fremont,North Central Region Office,Alameda,8/29/1991,6/19/2000,False,True,40,Grass,37º31'33N / 37.525853,-121º58'3W / -121.967580,"94555, 94539, 94538, 94537, 94536",
101,Piru,Piru,Southern Region Office,Ventura,8/27/1991,2/20/2005,False,True,640,Alfalfa,34º22'30N / 34.3750,-118º47'20W / -118.788890,93040,
102,El Dorado,Long Beach,Southern Region Office,Los Angeles,10/24/1990,10/20/1999,False,True,17,Grass,33º47'50N / 33.797222,-118º5'38W / -118.093890,"90899, 90888, 90853, 90848, 90847, 90846, 90845, 90842, 90840, 90835, 90834, 90833, 90832, 90831, 90822, 90814, 90813, 90810, 90809, 90808, 90807, 90806, 90805, 90804, 90803, 90802, 90801, 90749, 90747, 90746, 90745",
103,Windsor,Windsor,North Central Region Office,Sonoma,12/14/1990,12/31/2050,True,True,92,Grass,38º31'36N / 38.526650,-122º48'50W / -122.813758,"95492, 95439, 95448, 95436",
104,De Laveaga,Santa Cruz,South Central Region Office,Santa Cruz,9/28/1990,12/31/2050,True,True,300,Grass,36º59'51N / 36.997444,-121º59'48W / -121.996760,"95065, 95064, 95018, 95067, 95063, 95073",
105,Westlands,Tranquility,South Central Region Office,Fresno,4/17/1992,12/31/2050,True,True,191,Grass,36º38'3N / 36.634028,-120º22'55W / -120.381810,"93668, 93640",
106,Sanel Valley,Hopland,North Central Region Office,Mendocino,2/1/1991,7/27/2050,True,True,525,Grass,38º58'57N / 38.982581,-123º5'21W / -123.089280,95449,
107,Santa Barbara,Santa Barbara,Southern Region Office,Santa Barbara,4/7/1993,12/31/2050,True,True,250,Grass,34º26'14N / 34.437353,-119º44'15W / -119.737420,"93199, 93190, 93160, 93150, 93140, 93130, 93129, 93128, 93127, 93126, 93125, 93124, 93123, 93122, 93121, 93120, 93118, 93117, 93116, 93111, 93110, 93109, 93106, 93107, 93105, 93103, 93102, 93101",
108,Gerber Dryland,Gerber,Northern Region Office,Tehama,3/11/1991,5/12/1998,False,True,245,Bare,40º2'34N / 40.042778,-122º9'44W / -122.162220,96035,
109,Carneros,Napa,North Central Region Office,Napa,3/11/1993,1/13/2022,False,False,5,Grass,38º13'10N / 38.219503,-122º21'18W / -122.354960,"94592, 94591, 94590, 94589, 94581, 94559, 94558, 94503",
110,Newberry Springs,Dagget,Southern Region Office,San Bernardino,2/21/1992,12/27/1996,False,True,1929,Grass,34º50'26N / 34.840556,-116º38'30W / -116.641670,"92365, 92338",
111,Green Valley Road,Watsonville,South Central Region Office,Santa Cruz,5/29/1992,1/28/2021,False,False,110,Grass,36º56'38N / 36.943964,-121º45'50W / -121.763940,"95077, 95076, 95075, 95019, 95018",
112,San Ardo,San Lucas,South Central Region Office,Monterey,6/18/1993,3/13/1995,False,True,374,Grass,36º4'44N / 36.078889,-120º57'28W / -120.957780,93450,
113,King City-Oasis Rd.,King City,South Central Region Office,Monterey,6/12/1993,12/31/2050,True,True,540,Grass,36º7'16N / 36.121083,-121º5'4W / -121.084570,93930,
114,Arroyo Seco,Soledad,South Central Region Office,Monterey,6/18/1993,12/31/2050,True,True,235,Grass,36º20'50N / 36.347306,-121º17'29W / -121.291350,93927,
115,Gonzales,Salinas,South Central Region Office,Monterey,6/12/1993,11/10/1998,False,True,146,Grass,36º30'35N / 36.509750,-121º30'57W / -121.515970,"93926, 93026",
116,Salinas North,Salinas,South Central Region Office,Monterey,6/18/1993,12/31/2050,True,False,61,Grass,36º43'1N / 36.716806,-121º41'31W / -121.691890,"93962, 93915, 93912, 93908, 93907, 93906, 93905, 93902, 93901",
117,Victorville,Victorville,Southern Region Office,San Bernardino,2/1/1994,12/31/2050,True,True,2890,Grass,34º28'33N / 34.475914,-117º15'49W / -117.263510,"92394, 92393, 92392",
118,Cathedral City,Cathedral City,Southern Region Office,Riverside,12/7/1995,10/9/2014,False,True,392,Grass,33º50'29N / 33.841292,-116º28'43W / -116.478730,"92235, 92234",
119,Putah Creek,Winters,North Central Region Office,Solano,8/21/1993,1/25/1995,False,True,180,Grass,38º29'32N / 38.492167,-122º0'14W / -122.003930,95694,
120,Guadalupe,Guadalupe,Southern Region Office,Santa Barbara,12/24/1993,11/28/2000,False,False,110,Grass,34º57'46N / 34.962778,-120º32'55W / -120.548610,93434,
121,Dixon,Dixon,North Central Region Office,Solano,9/20/1994,7/6/2021,False,True,37,Grass,38º24'56N / 38.415564,-121º47'13W / -121.786910,95620,
122,Hastings Tract,Dixon,North Central Region Office,Solano,3/28/1995,6/10/2009,False,True,10,Grass,38º16'59N / 38.283075,-121º47'26W / -121.7906,"95689, 95688, 95687, 94571",
123,Suisun Valley,Cordelia,North Central Region Office,Solano,8/18/1994,7/11/2010,False,True,35,Grass,38º14'2N / 38.233972,-122º7'1W / -122.116990,94585,
124,Panoche,Firebaugh,South Central Region Office,Fresno,7/27/1995,12/31/2050,True,True,183,Grass,36º53'24N / 36.890056,-120º43'53W / -120.731410,"95043, 93622",
125,Arvin-Edison,Arvin,South Central Region Office,Kern,3/22/1995,12/31/2050,True,True,500,Grass,35º12'20N / 35.205583,-118º46'42W / -118.778410,93203,
126,San Benito,Hollister,South Central Region Office,San Benito,6/9/1994,12/31/2050,True,True,340,Grass,36º51'17N / 36.854833,-121º21'46W / -121.362750,"95024, 95023",
127,Salton Sea West,Salton City,Southern Region Office,Imperial,11/21/1994,9/16/2012,False,False,-225,Bare,33º19'40N / 33.327703,-115º56'41W / -115.944840,92275,
128,Salton Sea East,Niland,Southern Region Office,Imperial,11/17/1994,8/9/2013,False,False,-226,Bare,33º13'13N / 33.220186,-115º34'48W / -115.580120,92257,
129,Pajaro,Pajaro,South Central Region Office,Monterey,9/13/1995,12/31/2050,True,True,65,Grass,36º54'10N / 36.902778,-121º44'31W / -121.741930,"95077, 95076, 95075, 95019, 95018",
130,Temecula East,Temecula,Southern Region Office,Riverside,7/1/1995,11/5/1996,False,True,1500,Grass,33º33'23N / 33.556389,-117º2'13W / -117.036940,"92593, 92591, 92590, 92589",
131,Fair Oaks,Fair Oaks,North Central Region Office,Sacramento,4/18/1997,12/31/2050,True,True,265,Grass,38º39'0N / 38.649964,-121º13'8W / -121.218870,"95628, 95038, 95037",
132,Morgan Hill,Morgan Hill,North Central Region Office,Santa Clara,4/28/1997,5/1/2008,False,True,385,Grass,37º9'6N / 37.151533,-121º38'11W / -121.636320,"95038, 95037",
133,Glendale,Glendale,Southern Region Office,Los Angeles,8/7/1996,1/5/2015,False,True,1111,Grass,34º11'48N / 34.196531,-118º13'49W / -118.2302,"91226, 91225, 91224, 91222, 91221, 91214, 91210, 91208, 91207, 91206, 91205, 91204, 91203, 91202, 91201",
134,Barstow NE,Barstow,Southern Region Office,San Bernardino,1/8/1997,10/30/2013,False,True,2040,Grass,34º53'3N / 34.884267,-116º58'47W / -116.979860,"92312, 92311, 92310",
135,Blythe NE,Blythe,Southern Region Office,Riverside,1/16/1997,12/31/2050,True,False,275,Grass,33º39'46N / 33.662869,-114º33'29W / -114.558110,"92228, 92227, 92226, 92225",
136,Oasis,Oasis/Indio,Southern Region Office,Riverside,1/7/1997,12/31/2050,True,False,12,Grass,33º31'25N / 33.523694,-116º9'21W / -116.155750,92274,
137,Temecula East II,Temecula,Southern Region Office,Riverside,2/20/1997,9/20/2011,False,True,1536,Grass,33º33'29N / 33.558017,-117º1'54W / -117.031660,"92592, 92591, 92590, 92589",
138,Famoso,Macfarland,South Central Region Office,Kern,4/9/1997,12/29/2015,False,True,415,Grass,35º36'11N / 35.603111,-119º12'45W / -119.212590,93250,
139,Winters,Winters,North Central Region Office,Solano,6/15/1998,12/31/2050,True,True,136,Grass,38º30'5N / 38.501258,-121º58'43W / -121.978530,"95694, 95696, 95688, 95620",
140,Twitchell Island,Rio Vista,North Central Region Office,Sacramento,10/8/1997,12/31/2050,True,True,0,Grass,38º7'18N / 38.121739,-121º40'28W / -121.674455,"94571, 95641",
141,Mecca,Mecca,Southern Region Office,Riverside,5/5/1998,3/11/2010,False,True,-180,Grass,33º32'13N / 33.536894,-115º59'34W / -115.9928,92254,
142,Orange Cove,Orange Cove,South Central Region Office,Fresno,1/1/1999,1/6/2023,False,False,450,Grass,36º43'16N / 36.721083,-119º23'21W / -119.389030,"93666, 93647, 93618, 93615, 93654, 93646",
143,San Juan Valley,Hollister,South Central Region Office,San Benito,1/1/1998,12/31/2050,True,False,245,Grass,36º49'22N / 36.822861,-121º28'4W / -121.467870,"95045, 93257",
144,Petaluma East,Petaluma,North Central Region Office,Sonoma,8/25/1999,12/31/2050,True,True,97,Grass,38º15'59N / 38.266428,-122º36'59W / -122.616460,"94999, 94975, 94955, 94954, 94953, 94952",
145,Madera,Madera,South Central Region Office,Madera,5/13/1998,3/27/2013,False,True,230,Grass,37º1'0N / 37.016528,-120º11'11W / -120.186390,"93657, 93639, 93638, 93637",
146,Belridge,Lost Hills,South Central Region Office,Kern,10/9/1998,12/31/2050,True,True,410,Grass,35º30'21N / 35.505833,-119º41'28W / -119.691140,93206,
